date,nav,cash,invested,drawdown,is_circuit
2015-01-05,1000000.0,1000000.0,0.0,0.0,0
2015-01-06,1000000.0,1000000.0,0.0,0.0,0
2015-01-07,1000000.0,1000000.0,0.0,0.0,0
2015-01-08,1000000.0,1000000.0,0.0,0.0,0
2015-01-09,1000000.0,1000000.0,0.0,0.0,0
2015-01-12,1000000.0,1000000.0,0.0,0.0,0
2015-01-13,1000000.0,1000000.0,0.0,0.0,0
2015-01-14,1000000.0,1000000.0,0.0,0.0,0
2015-01-15,1000000.0,1000000.0,0.0,0.0,0
2015-01-16,1000000.0,1000000.0,0.0,0.0,0
2015-01-19,1000000.0,1000000.0,0.0,0.0,0
2015-01-20,1000000.0,1000000.0,0.0,0.0,0
2015-01-21,1000000.0,1000000.0,0.0,0.0,0
2015-01-22,1000000.0,1000000.0,0.0,0.0,0
2015-01-23,1000000.0,1000000.0,0.0,0.0,0
2015-01-26,1000000.0,1000000.0,0.0,0.0,0
2015-01-27,1000000.0,1000000.0,0.0,0.0,0
2015-01-28,1000000.0,1000000.0,0.0,0.0,0
2015-01-29,1000000.0,1000000.0,0.0,0.0,0
2015-01-30,1000000.0,1000000.0,0.0,0.0,0
2015-02-02,1000000.0,372900.0,627100.0,0.0,0
2015-02-03,1000858.9264103516,372900.0,627958.9264103516,0.0,0
2015-02-04,1001518.1647475184,372900.0,628618.1647475184,0.0,0
2015-02-05,1002271.8725045096,372900.0,629371.8725045096,0.0,0
2015-02-06,1003766.3051604584,372900.0,630866.3051604584,0.0,0
2015-02-09,1004248.3203240078,372900.0,631348.3203240078,0.0,0
2015-02-10,1001892.8284518503,372900.0,628992.8284518503,-0.002345527320770093,0
2015-02-11,1003859.4344055841,372900.0,630959.4344055841,-0.00038724079548191906,0
2015-02-12,1005074.5366944624,372900.0,632174.5366944624,0.0,0
2015-02-13,1006106.9682102584,372900.0,633206.9682102584,0.0,0
2015-02-16,1005364.5711483158,372900.0,632464.5711483158,-0.0007378907863676212,0
2015-02-17,1005916.5310089622,372900.0,633016.5310089622,-0.0001892812666181775,0
2015-02-25,1005937.7131021377,372900.0,633037.7131021377,-0.0001682277466200428,0
2015-02-26,1005265.0591000095,372900.0,632365.0591000095,-0.000836798806538988,0
2015-02-27,1005357.9432575182,372900.0,632457.9432575182,-0.0007444784465339701,0
2015-03-02,1004284.5729343212,372900.0,631384.5729343212,-0.001811333519714091,0
2015-03-03,1004135.404832294,372900.0,631235.404832294,-0.0019595961863494472,0
2015-03-04,1004434.1443109135,372900.0,631534.1443109135,-0.0016626700263498225,0
2015-03-05,1003830.1087491557,372900.0,630930.1087491557,-0.0022630391529371934,0
