date,symbol,direction,shares,price,value,cost
2016-02-01,511880,buy,197.26616984816496,100.372,19800.000000000015,25.740000000000016
2016-02-01,511010,buy,8655.422388984007,109.804,950400.0,1235.52
2016-04-01,511010,sell,8475.242087023911,111.742,947040.501288226,1231.1526516746937
2016-04-01,518880,buy,369065.6174634829,2.564,946284.2431763702,1230.1695161292812
2016-04-01,511880,buy,2.520558158750494,100.776,254.01176900623977,0.3302152997081117
2016-05-17,518880,sell,38373.56960774141,2.682,102917.91368796246,133.7932877943512
2016-05-17,511880,buy,339.4076855961933,101.076,34305.97122932083,44.59776259811707
2016-05-17,511010,buy,308.9403410298694,111.044,34305.971229320814,44.59776259811706
2016-05-31,518880,sell,57840.34692620797,2.576,148996.73368191172,193.69575378648523
2016-05-31,511880,buy,490.9800495667145,101.156,49665.57789397058,64.56525126216175
2016-05-31,511010,buy,447.8774462667898,110.891,49665.577893970585,64.56525126216175
2016-06-01,511880,sell,829.6403194031703,101.158,83924.7554301859,109.10218205924167
2016-06-01,511010,sell,754.0864457168728,110.904,83631.20317578406,108.72056412851927
2016-06-01,518880,buy,96836.06448803577,2.579,249740.21031464427,324.66227340903754
2016-06-17,518880,sell,113911.325467362,2.715,309269.2486438878,402.0500232370541
2016-06-17,511880,buy,1017.8285765566386,101.284,103089.7495479626,134.01667441235136
2016-06-17,511010,buy,926.8743834275518,111.223,103089.7495479626,134.01667441235136
2016-07-01,518880,sell,103784.20114035948,2.858,296615.2468591474,385.5998209168916
2016-07-01,511880,buy,975.1434921201783,101.392,98871.74895304911,128.53327363896383
2016-07-01,511010,buy,883.9673576490759,111.85,98871.74895304913,128.53327363896386
2016-07-15,518880,sell,53858.364256235065,2.875,154842.7972366758,201.29563640767853
2016-07-15,511880,buy,508.5600274463608,101.491,51614.2657455586,67.09854546922618
2016-07-15,511010,buy,460.73470217234063,112.026,51614.26574555863,67.09854546922621
2016-08-01,511880,sell,2484.5425711380285,101.609,252451.8861107639,328.18745194399304
2016-08-01,511010,sell,2258.282506107247,112.649,254393.2660304753,330.71124583961785
2016-08-01,518880,buy,262940.52083585167,2.877,756479.8784447452,983.4238419781688
2016-09-12,518880,sell,36878.1093539421,2.852,105176.36787744286,136.7292782406757
2016-09-12,511880,buy,344.0711846868408,101.894,35058.78929248096,45.57642608022524
2016-09-12,511010,buy,311.26846093899564,112.632,35058.78929248096,45.57642608022524
2016-10-10,511880,sell,354.1092020758199,102.071,36144.28036508101,46.98756447460531
2016-10-10,511010,sell,320.3455422147698,113.175,36255.106740156574,47.13163876220354
2016-10-10,518880,sell,220867.8989234356,2.737,604515.4393534432,785.8700711594762
2016-10-10,510500,buy,28572.845558981444,6.761,193181.00882427354,251.13531147155558
2016-10-10,510880,buy,92437.01657865073,2.6,240336.2431044919,312.43711603583944
2016-10-10,513100,buy,420555.14950798376,0.3364435670261941,141493.0746317004,183.94099702121053
2016-10-10,513500,buy,184879.514046101,0.7440438756855576,137558.47016572347,178.8260112154405
2016-10-11,518880,sell,1190.0463966210577,2.731,3250.0167091721087,4.225021721923741
2016-10-11,510500,sell,2857.284555898144,6.782,19378.10385810121,25.191535015531574
2016-10-11,510880,sell,9243.701657865073,2.604,24070.599117080652,31.291778852204846
2016-10-11,513100,sell,42055.51495079835,0.3407444144838212,14330.181817725374,18.629236363042985
2016-10-11,513500,sell,18487.9514046101,0.7506508226691042,13877.99593133699,18.041394710738086
2016-10-11,511880,buy,244.61631572328685,102.074,24968.96581113878,32.45965555448041
2016-10-11,511010,buy,220.57974867831112,113.197,24968.965811138783,32.45965555448042
2016-10-24,518880,sell,12747.564856747753,2.76,35183.27900462379,45.73826270601093
2016-10-24,510500,sell,3209.478237243586,6.837,21943.202708034398,28.526163520444715
2016-10-24,510880,sell,10383.095810758297,2.679,27816.313677021477,36.16120778012792
2016-10-24,511880,buy,277.18592575446877,102.149,28314.265129893232,36.8085446688612
2016-10-24,511010,buy,248.90129952348624,113.757,28314.265129893225,36.80854466886119
2016-12-01,511880,sell,516.0127006730416,102.411,52845.37668862687,68.69898969521493
2016-12-01,511010,sell,461.03010237656173,111.677,51486.45874310729,66.93239636603947
2016-12-01,510880,sell,72810.21911002736,2.828,205907.29964315737,267.67948953610454
2016-12-01,513500,sell,46135.602660573655,0.855345521023766,39461.88109545382,51.300445424089965
2016-12-01,510500,buy,25152.91528340104,6.931,174334.8558292526,226.63531257802836
2016-12-01,512120,buy,222135.5397054823,0.4413614262560777,98042.05862657525,127.45467621454782
2016-12-01,513100,buy,258823.31422277808,0.34563174114021566,89457.55274249993,116.2948185652499
2016-12-01,518880,buy,14796.760819646839,2.64,39063.448563867656,50.78248313302795
2016-12-20,518880,sell,598.013516377102,2.601,1555.4331560968421,2.0220631029258946
2016-12-20,510500,sell,4765.899804924082,6.578,31350.088916790613,40.755115591827796
2016-12-20,513100,sell,63732.29487799629,0.355015408320493,22625.946689313918,29.413730696108093
2016-12-20,513500,sell,12025.595998091718,0.9641060329067642,11593.949651059665,15.072134546377564
2016-12-20,512120,sell,22213.55397054822,0.4279286871961102,9505.81698857664,12.357562085149631
2016-12-20,511880,buy,249.1465021599206,102.525,25543.74513394586,33.206868674129616
2016-12-20,511010,buy,233.95564409834836,109.182,25543.74513394587,33.20686867412963
2017-02-03,511880,sell,249.18424734388248,100.355,25006.885142195326,32.50895068485392
